name;flow;Hm
KSB  32-160 144;0,000000;38,06349
KSB  32-160 144;0,000001;38,06353
KSB  32-160 144;0,000002;38,06358
KSB  32-160 144;0,000003;38,06362
KSB  32-160 144;0,000004;38,06367
KSB  32-160 144;0,000005;38,06371
KSB  32-160 144;0,000006;38,06375
KSB  32-160 144;0,000007;38,0638
KSB  32-160 144;0,000008;38,06384
KSB  32-160 144;0,000009;38,06388
KSB  32-160 144;0,000010;38,06392
KSB  32-160 144;0,000011;38,06397
KSB  32-160 144;0,000012;38,06401
KSB  32-160 144;0,000013;38,06405
KSB  32-160 144;0,000014;38,06409
KSB  32-160 144;0,000015;38,06413
KSB  32-160 144;0,000016;38,06417
KSB  32-160 144;0,000017;38,06421
KSB  32-160 144;0,000018;38,06425
KSB  32-160 144;0,000019;38,06429
KSB  32-160 144;0,000020;38,06432
KSB  32-160 144;0,000021;38,06436
KSB  32-160 144;0,000022;38,0644
KSB  32-160 144;0,000023;38,06444
KSB  32-160 144;0,000024;38,06448
KSB  32-160 144;0,000025;38,06451
KSB  32-160 144;0,000026;38,06455
KSB  32-160 144;0,000027;38,06458
KSB  32-160 144;0,000028;38,06462
KSB  32-160 144;0,000029;38,06466
KSB  32-160 144;0,000030;38,06469
KSB  32-160 144;0,000031;38,06473
KSB  32-160 144;0,000032;38,06476
KSB  32-160 144;0,000033;38,06479
KSB  32-160 144;0,000034;38,06483
KSB  32-160 144;0,000035;38,06486
KSB  32-160 144;0,000036;38,06489
KSB  32-160 144;0,000037;38,06493
KSB  32-160 144;0,000038;38,06496
KSB  32-160 144;0,000039;38,06499
KSB  32-160 144;0,000040;38,06502
KSB  32-160 144;0,000041;38,06505
KSB  32-160 144;0,000042;38,06508
KSB  32-160 144;0,000043;38,06511
KSB  32-160 144;0,000044;38,06514
KSB  32-160 144;0,000045;38,06517
KSB  32-160 144;0,000046;38,0652
KSB  32-160 144;0,000047;38,06523
KSB  32-160 144;0,000048;38,06526
KSB  32-160 144;0,000049;38,06529
KSB  32-160 144;0,000050;38,06532
KSB  32-160 144;0,000051;38,06535
KSB  32-160 144;0,000052;38,06537
KSB  32-160 144;0,000053;38,0654
KSB  32-160 144;0,000054;38,06543
KSB  32-160 144;0,000055;38,06545
KSB  32-160 144;0,000056;38,06548
KSB  32-160 144;0,000057;38,06551
KSB  32-160 144;0,000058;38,06553
KSB  32-160 144;0,000059;38,06556
KSB  32-160 144;0,000060;38,06558
KSB  32-160 144;0,000061;38,0656
KSB  32-160 144;0,000062;38,06563
KSB  32-160 144;0,000063;38,06565
KSB  32-160 144;0,000064;38,06568
KSB  32-160 144;0,000065;38,0657
KSB  32-160 144;0,000066;38,06572
KSB  32-160 144;0,000067;38,06574
KSB  32-160 144;0,000068;38,06577
KSB  32-160 144;0,000069;38,06579
KSB  32-160 144;0,000070;38,06581
KSB  32-160 144;0,000071;38,06583
KSB  32-160 144;0,000072;38,06585
KSB  32-160 144;0,000073;38,06587
KSB  32-160 144;0,000074;38,06589
KSB  32-160 144;0,000075;38,06591
KSB  32-160 144;0,000076;38,06593
KSB  32-160 144;0,000077;38,06595
KSB  32-160 144;0,000078;38,06597
KSB  32-160 144;0,000079;38,06598
KSB  32-160 144;0,000080;38,066
KSB  32-160 144;0,000081;38,06602
KSB  32-160 144;0,000082;38,06604
KSB  32-160 144;0,000083;38,06605
KSB  32-160 144;0,000084;38,06607
KSB  32-160 144;0,000085;38,06608
KSB  32-160 144;0,000086;38,0661
KSB  32-160 144;0,000087;38,06612
KSB  32-160 144;0,000088;38,06613
KSB  32-160 144;0,000089;38,06614
KSB  32-160 144;0,000090;38,06616
KSB  32-160 144;0,000091;38,06617
KSB  32-160 144;0,000092;38,06619
KSB  32-160 144;0,000093;38,0662
KSB  32-160 144;0,000094;38,06621
KSB  32-160 144;0,000095;38,06623
KSB  32-160 144;0,000096;38,06624
KSB  32-160 144;0,000097;38,06625
KSB  32-160 144;0,000098;38,06626
KSB  32-160 144;0,000099;38,06627
KSB  32-160 144;0,000100;38,06628
KSB  32-160 144;0,000101;38,06629
KSB  32-160 144;0,000102;38,0663
KSB  32-160 144;0,000103;38,06631
KSB  32-160 144;0,000104;38,06632
KSB  32-160 144;0,000105;38,06633
KSB  32-160 144;0,000106;38,06634
KSB  32-160 144;0,000107;38,06635
KSB  32-160 144;0,000108;38,06636
KSB  32-160 144;0,000109;38,06636
KSB  32-160 144;0,000110;38,06637
KSB  32-160 144;0,000111;38,06638
KSB  32-160 144;0,000112;38,06639
KSB  32-160 144;0,000113;38,06639
KSB  32-160 144;0,000114;38,0664
KSB  32-160 144;0,000115;38,0664
KSB  32-160 144;0,000116;38,06641
KSB  32-160 144;0,000117;38,06641
KSB  32-160 144;0,000118;38,06642
KSB  32-160 144;0,000119;38,06642
KSB  32-160 144;0,000120;38,06643
KSB  32-160 144;0,000121;38,06643
KSB  32-160 144;0,000122;38,06643
KSB  32-160 144;0,000123;38,06644
KSB  32-160 144;0,000124;38,06644
KSB  32-160 144;0,000125;38,06644
KSB  32-160 144;0,000126;38,06644
KSB  32-160 144;0,000127;38,06644
KSB  32-160 144;0,000128;38,06645
KSB  32-160 144;0,000129;38,06645
KSB  32-160 144;0,000130;38,06645
KSB  32-160 144;0,000131;38,06645
KSB  32-160 144;0,000132;38,06645
KSB  32-160 144;0,000133;38,06645
KSB  32-160 144;0,000134;38,06645
KSB  32-160 144;0,000135;38,06644
KSB  32-160 144;0,000136;38,06644
KSB  32-160 144;0,000137;38,06644
KSB  32-160 144;0,000138;38,06644
KSB  32-160 144;0,000139;38,06644
KSB  32-160 144;0,000140;38,06643
KSB  32-160 144;0,000141;38,06643
KSB  32-160 144;0,000142;38,06643
KSB  32-160 144;0,000143;38,06642
KSB  32-160 144;0,000144;38,06642
KSB  32-160 144;0,000145;38,06641
KSB  32-160 144;0,000146;38,06641
KSB  32-160 144;0,000147;38,0664
KSB  32-160 144;0,000148;38,0664
KSB  32-160 144;0,000149;38,06639
KSB  32-160 144;0,000150;38,06638
KSB  32-160 144;0,000151;38,06638
KSB  32-160 144;0,000152;38,06637
KSB  32-160 144;0,000153;38,06636
KSB  32-160 144;0,000154;38,06635
KSB  32-160 144;0,000155;38,06635
KSB  32-160 144;0,000156;38,06634
KSB  32-160 144;0,000157;38,06633
KSB  32-160 144;0,000158;38,06632
KSB  32-160 144;0,000159;38,06631
KSB  32-160 144;0,000160;38,0663
KSB  32-160 144;0,000161;38,06629
KSB  32-160 144;0,000162;38,06628
KSB  32-160 144;0,000163;38,06627
KSB  32-160 144;0,000164;38,06626
KSB  32-160 144;0,000165;38,06625
KSB  32-160 144;0,000166;38,06623
KSB  32-160 144;0,000167;38,06622
KSB  32-160 144;0,000168;38,06621
KSB  32-160 144;0,000169;38,0662
KSB  32-160 144;0,000170;38,06618
KSB  32-160 144;0,000171;38,06617
KSB  32-160 144;0,000172;38,06615
KSB  32-160 144;0,000173;38,06614
KSB  32-160 144;0,000174;38,06613
KSB  32-160 144;0,000175;38,06611
KSB  32-160 144;0,000176;38,06609
KSB  32-160 144;0,000177;38,06608
KSB  32-160 144;0,000178;38,06606
KSB  32-160 144;0,000179;38,06605
KSB  32-160 144;0,000180;38,06603
KSB  32-160 144;0,000181;38,06601
KSB  32-160 144;0,000182;38,066
KSB  32-160 144;0,000183;38,06598
KSB  32-160 144;0,000184;38,06596
KSB  32-160 144;0,000185;38,06594
KSB  32-160 144;0,000186;38,06592
KSB  32-160 144;0,000187;38,0659
KSB  32-160 144;0,000188;38,06588
KSB  32-160 144;0,000189;38,06586
KSB  32-160 144;0,000190;38,06584
KSB  32-160 144;0,000191;38,06582
KSB  32-160 144;0,000192;38,0658
KSB  32-160 144;0,000193;38,06578
KSB  32-160 144;0,000194;38,06576
KSB  32-160 144;0,000195;38,06574
KSB  32-160 144;0,000196;38,06571
KSB  32-160 144;0,000197;38,06569
KSB  32-160 144;0,000198;38,06567
KSB  32-160 144;0,000199;38,06565
KSB  32-160 144;0,000200;38,06562
KSB  32-160 144;0,000201;38,0656
KSB  32-160 144;0,000202;38,06557
KSB  32-160 144;0,000203;38,06555
KSB  32-160 144;0,000204;38,06552
KSB  32-160 144;0,000205;38,0655
KSB  32-160 144;0,000206;38,06547
KSB  32-160 144;0,000207;38,06545
KSB  32-160 144;0,000208;38,06542
KSB  32-160 144;0,000209;38,06539
KSB  32-160 144;0,000210;38,06537
KSB  32-160 144;0,000211;38,06534
KSB  32-160 144;0,000212;38,06531
KSB  32-160 144;0,000213;38,06528
KSB  32-160 144;0,000214;38,06525
KSB  32-160 144;0,000215;38,06523
KSB  32-160 144;0,000216;38,0652
KSB  32-160 144;0,000217;38,06517
KSB  32-160 144;0,000218;38,06514
KSB  32-160 144;0,000219;38,06511
KSB  32-160 144;0,000220;38,06508
KSB  32-160 144;0,000221;38,06505
KSB  32-160 144;0,000222;38,06501
KSB  32-160 144;0,000223;38,06498
KSB  32-160 144;0,000224;38,06495
KSB  32-160 144;0,000225;38,06492
KSB  32-160 144;0,000226;38,06489
KSB  32-160 144;0,000227;38,06485
KSB  32-160 144;0,000228;38,06482
KSB  32-160 144;0,000229;38,06479
KSB  32-160 144;0,000230;38,06475
KSB  32-160 144;0,000231;38,06472
KSB  32-160 144;0,000232;38,06468
KSB  32-160 144;0,000233;38,06465
KSB  32-160 144;0,000234;38,06461
KSB  32-160 144;0,000235;38,06458
KSB  32-160 144;0,000236;38,06454
KSB  32-160 144;0,000237;38,0645
KSB  32-160 144;0,000238;38,06447
KSB  32-160 144;0,000239;38,06443
KSB  32-160 144;0,000240;38,06439
KSB  32-160 144;0,000241;38,06436
KSB  32-160 144;0,000242;38,06432
KSB  32-160 144;0,000243;38,06428
KSB  32-160 144;0,000244;38,06424
KSB  32-160 144;0,000245;38,0642
KSB  32-160 144;0,000246;38,06416
KSB  32-160 144;0,000247;38,06412
KSB  32-160 144;0,000248;38,06408
KSB  32-160 144;0,000249;38,06404
KSB  32-160 144;0,000250;38,064
KSB  32-160 144;0,000251;38,06396
KSB  32-160 144;0,000252;38,06392
KSB  32-160 144;0,000253;38,06388
KSB  32-160 144;0,000254;38,06383
KSB  32-160 144;0,000255;38,06379
KSB  32-160 144;0,000256;38,06375
KSB  32-160 144;0,000257;38,0637
KSB  32-160 144;0,000258;38,06366
KSB  32-160 144;0,000259;38,06362
KSB  32-160 144;0,000260;38,06357
KSB  32-160 144;0,000261;38,06353
KSB  32-160 144;0,000262;38,06348
KSB  32-160 144;0,000263;38,06344
KSB  32-160 144;0,000264;38,06339
KSB  32-160 144;0,000265;38,06335
KSB  32-160 144;0,000266;38,0633
KSB  32-160 144;0,000267;38,06325
KSB  32-160 144;0,000268;38,06321
KSB  32-160 144;0,000269;38,06316
KSB  32-160 144;0,000270;38,06311
KSB  32-160 144;0,000271;38,06306
KSB  32-160 144;0,000272;38,06301
KSB  32-160 144;0,000273;38,06297
KSB  32-160 144;0,000274;38,06292
KSB  32-160 144;0,000275;38,06287
KSB  32-160 144;0,000276;38,06282
KSB  32-160 144;0,000277;38,06277
KSB  32-160 144;0,000278;38,06272
KSB  32-160 144;0,000279;38,06267
KSB  32-160 144;0,000280;38,06261
KSB  32-160 144;0,000281;38,06256
KSB  32-160 144;0,000282;38,06251
